CustomerNumber,CustomerName,Phone,"Address ",City,Country
223,"Natürlich Autos",0372-555188,"Taucherstraße 10",Cunewalde,Germany
227,"Heintze Collectables","86 21 3555","Smagsloget 45",Århus,Denmark
233,"Québec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",Montréal,Canada
237,"ANG Resellers","(91) 745 6555","Gran Vía, 1",Madrid,Spain
239,"Collectable Mini Designs Co.",7605558146,"361 Furth Circle","San Diego",USA
240,giftsbymail.co.uk,"(198) 555-8888","Garden House",Cowes,UK
242,"Alpha Cognac",61.77.6555,"1 rue Alsace-Lorraine",Toulouse,France
247,"Messner Shopping Network",069-0555984,"Magazinweg 7",Frankfurt,Germany
249,"Amica Models & Co.",011-4988555,"Via Monte Bianco 34",Torino,Italy
250,"Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",Paris,France
256,"Auto Associés & Cie.",30.59.8555,"67, avenue de l'Europe",Versailles,France
259,"Toms Spezialitäten, Ltd",0221-5554327,"Mehrheimerstr. 369",Köln,Germany
260,"Royal Canadian Collectables, Ltd.","(604) 555-4555","23 Tsawassen Blvd.",Tsawassen,Canada
273,"Franken Gifts, Co",089-0877555,"Berliner Platz 43",München,Germany
276,"Anna's Decorations, Ltd","02 9936 8555","201 Miller Street","North Sydney",Australia
278,"Rovelli Gifts",035-640555,"Via Ludovico il Moro 22",Bergamo,Italy
282,"Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building",Chatswood,Australia
286,"Marta's Replicas Co.",6175558555,"39323 Spinnaker Dr.",Cambridge,USA
293,"BG&E Collectables","+41 26 425 50 01","Rte des Arsenaux 41 ",Fribourg,Switzerland
298,"Vida Sport, Ltd",0897-034555,"Grenzacherweg 237",Genève,Switzerland
299,"Norway Gifts By Mail, Co.","+47 2212 1555","Drammensveien 126A",Oslo,"Norway  "
303,"Schuyler Imports","+31 20 491 9555","Kingsfordweg 151",Amsterdam,Netherlands
307,"Der Hund Imports",030-0074555,"Obere Str. 57",Berlin,Germany
311,"Oulu Toy Supplies, Inc.",981-443655,"Torikatu 38",Oulu,Finland
314,"Petit Auto","(02) 5554 67","Rue Joseph-Bens 532",Bruxelles,Belgium
319,"Mini Classics",9145554562,"3758 North Pendale Street","White Plains",USA
320,"Mini Creations Ltd.",5085559555,"4575 Hillside Dr.","New Bedford",USA
321,"Corporate Gift Ideas Co.",6505551386,"7734 Strong St.","San Francisco",USA
323,"Down Under Souveniers, Inc","+64 9 312 5555","162-164 Grafton Road","Auckland  ","New Zealand"
324,"Stylish Desk Decors, Co.","(171) 555-0297","35 King George",London,UK
328,"Tekni Collectables Inc.",2015559350,"7476 Moss Rd.",Newark,USA
333,"Australian Gift Network, Co",61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Australia
334,"Suominen Souveniers","+358 9 8045 555","Software Engineering Center",Espoo,Finland
335,"Cramer Spezialitäten, Ltd",0555-09555,"Maubelstr. 90",Brandenburg,Germany
339,"Classic Gift Ideas, Inc",2155554695,"782 First Street",Philadelphia,USA
344,"CAF Imports","+34 913 728 555","Merchants House",Madrid,Spain
347,"Men 'R' US Retailers, Ltd.",2155554369,"6047 Douglas Av.","Los Angeles",USA
348,"Asian Treasures, Inc.","2967 555","8 Johnstown Road",Cork,Ireland
350,"Marseille Mini Autos",91.24.4555,"12, rue des Bouchers",Marseille,France
353,"Reims Collectables",26.47.1555,"59 rue de l'Abbaye",Reims,France
356,"SAR Distributors, Co","+27 21 550 3555","1250 Pretorius Street",Hatfield,"South Africa"
357,GiftsForHim.com,64-9-3763555,"199 Great North Road",Auckland,"New Zealand"
361,"Kommission Auto",0251-555259,"Luisenstr. 48",Münster,Germany
362,Gifts4AllAges.com,6175559555,"8616 Spinnaker Dr.",Boston,USA
363,"Online Diecast Creations Co.",6035558647,"2304 Long Airport Avenue",Nashua,USA
369,"Lisboa Souveniers, Inc","(1) 354-2555","Jardim das rosas n. 32",Lisboa,Portugal
376,"Precious Collectables",0452-076555,"Hauptstr. 29",Bern,Switzerland
379,"Collectables For Less Inc.",6175558555,"7825 Douglas Av.",Brickhaven,USA
381,"Royale Belge","(071) 23 67 2555","Boulevard Tirou, 255",Charleroi,Belgium
382,"Salzburg Collectables",6562-9555,"Geislweg 14",Salzburg,Austria
385,"Cruz & Sons Co.","+63 2 555 3587","15 McCallum Street","Makati City",Philippines
386,"L'ordine Souveniers",0522-556555,"Strada Provinciale 124","Reggio Emilia",Italy
398,"Tokyo Collectables, Ltd","+81 3 3584 0555","2-2-8 Roppongi",Minato-ku,Japan
406,"Auto Canal+ Petit","(1) 47.55.6555","25, rue Lauriston",Paris,France
409,"Stuttgart Collectable Exchange",0711-555361,"Adenauerallee 900",Stuttgart,Germany
412,"Extreme Desk Decorations, Ltd","04 499 9555","101 Lambton Quay",Wellington,"New Zealand"
415,"Bavarian Collectables Imports, Co."," +49 89 61 08 9555","Hansastr. 15",Munich,Germany
424,"Classic Legends Inc.",2125558493,"5905 Pompton St.",NYC,USA
443,"Feuer Online Stores, Inc",0342-555176,"Heerstr. 22",Leipzig,Germany
447,"Gift Ideas Corp.",2035554407,"2440 Pompton St.",Glendale,USA
448,"Scandinavian Gift Ideas","0695-34 6555","Åkergatan 24",Bräcke,Sweden
450,"The Sharp Gifts Warehouse",4085553659,"3086 Ingle Ln.","San Jose",USA
452,"Mini Auto Werke",7675-3555,"Kirchgasse 6",Graz,Austria
455,"Super Scale Inc.",2035559545,"567 North Pendale Street","New Haven",USA
456,"Microscale Inc.",2125551957,"5290 North Pendale Street",NYC,USA
458,"Corrida Auto Replicas, Ltd","(91) 555 22 82","C/ Araquil, 67",Madrid,Spain
459,"Warburg Exchange",0241-039123,"Walserweg 21",Aachen,Germany
462,FunGiftIdeas.com,5085552555,"1785 First Street","New Bedford",USA
465,"Anton Designs, Ltd.","+34 913 728555","c/ Gobelas, 19-1 Urb. La Florida",Madrid,Spain
471,"Australian Collectables, Ltd",61-9-3844-6555,"7 Allen Street","Glen Waverly",Australia
473,"Frau da Collezione","+39 022515555","20093 Cologno Monzese",Milan,Italy
475,"West Coast Collectables Co.",3105553722,"3675 Furth Circle",Burbank,USA
477,"Mit Vergnügen & Co.",0621-08555,"Forsterstr. 57",Mannheim,Germany
480,"Kremlin Collectables, Co.","+7 812 293 0521","2 Pobedy Square","Saint Petersburg",Russia
481,"Raanan Stores, Inc","+ 972 9 959 8555","3 Hagalim Blv.",Herzlia,Israel
484,"Iberia Gift Imports, Corp.","(95) 555 82 82","C/ Romero, 33",Sevilla,Spain
486,"Motor Mint Distributors Inc.",2155559857,"11328 Douglas Av.",Philadelphia,USA
487,"Signal Collectibles Ltd.",4155554312,"2793 Furth Circle",Brisbane,USA
489,"Double Decker Gift Stores, Ltd","(171) 555-7555","120 Hanover Sq.",London,UK
495,"Diecast Collectables",6175552555,"6251 Ingle Ln.",Boston,USA
496,"Kelly's Gift Shop","+64 9 5555500","Arenales 1938 3'A'","Auckland  ","New Zealand"
